,Address,Phone,Website,Hours of Service
Concord Community Center,"1310 S Meridian Street Indianapolis, IN 46225",(317) 637-4376,,
Concord St. Church of Christ,"626 E. Concord Street Orlando, FL 32803",(407) 342-7042,,
Concourse House,"2751 Grand Concourse Bronx, NY 10468",(718) 584-4400,www.concoursehouse.org/,
"Conetoe Family Life Center, Inc.","205 Factory Street Conetoe, NC 27819",(252) 883-9460,www.conetoeflc.com,
Conexion Americas,"800 18th Ave S. Suite A Nashville, TN 37203",(615) 320-5152,,
Coney Island Lighthouse Mission,"2114 Mermaid Avenue Brooklyn, NY 11224",(718) 415-1170,http://www.actsnyc.org,"Soup Kitchen: Wednesdays & Fridays 6:30pm-7:30pm
Food Pantry: Tuesday 6pm-7pm, Thursday 11am-12pm"
"Coney Island Youth Development, Inc.","2866 West 17th Street Brooklyn, NY 11224",(718) 265-4442,,
Conference of Churches,"534 Chew St Allentown, PA 18102",(610) 433-6421,http://www.lcconfchurch.org/, Mon-Fri9:30-12  
Congregation Shaare Zedek,"315 Beach 30th Street Far Rockaway, NY 11691",(718) 327-0830,sznyc.org/,
"Congregations Linked in Urban Strategy to Effect Renewal, Inc. (CLUSTER)","P.O. Box 1248 Yonkers, NY 10702",(914) 963-6440,,
Congreso De Latinos Unidos,"216 W. Somerset Street Philadelphia, PA 19133",(215) 763-8870,,M-F 10:00 AM-12:00 PM
Congress Heights Service Center,"4001 South Capitol Street, SW Washington, DC 20032",(202) 645-4525,,
Congressional Hunger Center,"400 North Capitol St NW Washington, DC 20001",(202) 547-7022,www.hungercenter.org,
"Connect, Inc. Welcome Home Shelter","302 Chamber Plaza Charleroi, PA 15022",(724) 489-8095,www.sphs.org,
Connecticut Association For Human Services,"110 Bartholomew Ave Suite 4030 Hartford, CT 6457",(860) 951-2212,www.cahs.org,
Connecticut Coalition to End Homelessness,"30 Jordan Lane Wethersfield, CT 6109",(860) 721-7876,www.cceh.org/,
Connecticut Department of Education - Child Nutrition,"25 Industrial Park Rd Middletown, CT 6457",(860) 807-2070,,
Connecticut Food Bank (Main Office and Warehouse),"PO Box 8686 New Haven, CT 6531",(203) 469-5000,http://www.ctfoodbank.org/contact/info.cfm,
Connecticut Housing Coalition,"30 Jordan Lane Wethersfield, CT 6109",(203) 563-2943,,
Connecting to Advantages,"68 Jay Street Brooklyn, NY 11201",(646) 226-3259,www.connectingtoadvantages.org,
Connections Community Support Programs,"500 West 10th st. Wilmington, DE 19801",(866) 477-5345,http://www.connectionscsp.org/," mon, tue, thu, fri: 9-12  "
Connections for the Homeless,"2010 Dewey Avenue Evanston, IL 60201",(847) 475-7070,,
Conscious Alliance,"2200 Central Ave Unit B Boulder, CO 8030",(720) 406-7871,,
Constable Food Pantry,"62 Poplar St. Constable, NY 12926",(518) 483-2288,,
Consumer Credit,"11306 Bridgeport Way Sw Tacoma, WA 98499",(206) 588-1858,,
Convenant Congregational Church,"143 Glenwood Avenue Pawtucket, RI 2860",(401) 728-5402,,
Convent Ave Baptist Church,"425 W. 144th St. New York, NY 10031",(212) 234-6767,,"Monday, Thursday 9am - 12pm"
Convent Avenue Baptist Church,"425 West 144th Street New York, NY 10035",(212) 234-6767,,"Monday, Thursday 9:30am to 12:00pm"
Cook Co Public Health & Human Services ,"411 W 2nd St Grand Marais, MN 55604",(218) 387-3620,http://www.cookcountypublichealth.org/services,
Cooking With Kids,"1400 Maclovia Suite # 5 Santa Fe, NM 87505",(505) 438-0098,http://www.cookingwithkids.net/, Monday- Friday 8am- 5pm  
"Cool Girls, Inc.","621 North Avenue NE Suite A 220 Atlanta, GA 30308",(404) 420-4362,http://www.thecoolgirls.org/,
Cooperative Christian Ministry,"246 Country Club Drive Concord, NC 28025",(704) 786-4709,http://www.cooperativeministry.com/index.htm," -Crisis Center - M,T,Th,F 9:00 am - 4:00 pm                 W 9:00 am - 12:30 pm  Shelter - 365 days a year - 7:30 pm - 6:30 am  "
Cooperative Christian Ministry,"31 1st Street Avenue SE Hickory, NC 28602",(828) 327-0979,,
Cooperative Development Services,"400 Selby Avenue St. Paul, MN 55102",(608) 258-4396,www.cdsus.coop,
Cooperative Economics for Women,"65 Nahant Street Revere, MA 2151",(781) 289-4950,www.co-opwomen.org/,
Cooperative Home Care Associates,"349 E 149th Street Bronx, NY 10451",(718) 993-7104,,
Cooperstown Food Pantry,"25 Church St Cooperstown, NY 13326",(607) 547-8902,cooperstownfoodpantry.org,"M-F 10am to 4pm, last 2 Saturday of the  month 10am to 12pm"
Copalis Commuity Food Bank,"3134 State Route 109 Copalis Beach, WA 98535",(360) 581-3861,,
Copper Communities Resource and Development,"P.O. Box 507 Kearny, AZ 85237",(520) 363-5852,,
CORA Food Pantry,"40 Camp Dr Pittsboro, NC 27312",(919) 542-5020,http://www.corafoodpantry.org/,Monday thru Friday from 10:00 a.m. to 2:00 p.m. except state holidays
Corbin Presbyterian Church,"601 Master St. Corbin, KY 40701",(606) 528-1444,,
Corinthians Emergency Food,"6100-13 North 21st Street Philadelphia, PA 19138",(215) 848-1278,,T & W 9:00 AM-11:00 AM
Cornell Cooperative Extension of Tompkins County,"615 Willow Avenue Ithaca, NY 14850",(607) 272-2292,ccetompkins.org/,
Corner Cupboard Food Bank,"511 Rolling Meadows Road Waynesburg, PA 15370",(724) 627-9784,,
Corner Stone Rescue Mission,"30 Main Street Rapid City, SD",(605) 341-2884,www.cornerstonemission.org,
Cornernstone,"220 Snow Ave. Raleigh, NC 27603",() -,,
Cornerstone,"5400 Kirkwood Boulevard Sw Cedar Rapids, IA 52404",(319) 364-0259,http://www.fouroaks.org/,
Cornerstone Bapt. Church Food Cupboard,"2117 N.33rd Street Philadelphia, PA 19121",(215) 763-8383,,3rd T 11:30 AM-1:30 PM
Cornerstone Baptist Church Gateway,"(between Church and Luis Avenues) Brooklyn, NY 11221",(718) 574-5900,,Tuesday 11:0am to 1:00pm
Cornerstone Christian Fellowship ,"426 W Gay St West Chester, PA 19380",(610) 430-3508,,W 6:30 PM-7:15 PM
Cornerstone Christian Flwshp - Soup Kitchen,"426 W. Gay St. West Chester, PA 19380",(610) 430-3508,,W 6:30 PM-7:15 PM;  
Cornerstone Church of Augusta,"1156 Tinkling Spring Road Staunton, VA 24401",(540) 324-0705,,
Cornerstone Community Church,"3167 Frankford Avenue Philadelphia, PA 19134",(215) 426-3644,,TH 10:00 AM-12:00 PM;  
Cornerstone Community Church Food Pantry,"7983 Grand Boulevard Hobart, IN 46342",(219) 942-4800,,
Cornerstone Cupboard,"4397 Hwy 162 Granite City, IL 62040",() -,,
Cornerstone Family Ministries,"1802 North Albany Avenue Tampa, FL 33607",(813) 253-3853,http://www.cornerstonefamilyministries.org/,
Cornerstone Food Bank,"3190 S. Grant St. Englewood, CO 80113",(720) 229-2336,,
Cornerstone Food Pantry,"4680 Lexington Road Athens, GA 30605",(706) 549-0000,,
"Cornerstone of Topeka, Inc.","1195 Southwest Buchanan St. Suite 103 Topeka, KS 66604",(785) 232-1650,http://corner1.org/,
Cornerstone United Methodist Church,"2697 Heckle Boulevard Rock Hill, SC 29732",(803) 328-1496,,
Corning Community Food Pantry,"39 W. William Street Corning, NY 14830",(607) 962-6750,,
Cornucopia Food Pantry,"15 Mill Rd. Durham, NH 3824",(603) 862-1165,,
Cornville Athens Food Cupboard ,"489 or 493 West Ridge Road Cornville, ME 04976",(207) 654-3071,,"2nd Saturday of each month 9-11
"
Cornwells UMC Harvest Ministry ,"2284 Bristol Pike Bensalem, PA 19020",(215) 639-0436,,"Pantry: T, TH & F 9:00AM-12:00 PM, W 6:00PM-8:00PM; Soup Kitchen: T & F 1:00 PM-2:00 PM, 2nd W 5:00PM- 7:00 PM"
Corona S.D.A. Church,"35-30 103rd St. Queens, NY 11368",(718) 271-1413,,"Sunday, Monday 9:30 am to 11:30 am"
Corpus Christi Food Pantry,"31-31 60th Street Queens (Woodside), NY 11377",(718) 278-8114,,Wednesday 11am - 1pm
Corpus Christi Food Pantry,"2014 Springdale Raod Cincinnati, OH 45231",(513) 825-0618,,
"Corvallis Neighborhood Housing Services, Inc.","257 SW Madison Avenue Corvallis, OR 97333",(541) 752-7220,www.corvallisnhs.org, Mon-Fri8-5  
Corvallis Youth Garden Project,"429 Sw 7th Street Corvallis, OR 97333",(541) 757-7162,www.peak.org/~ecenter,
"Coshocton,The Salvation Army Community Food Pantry","219 N. Fourth St. Coshocton, OH 43812",(740) 622-0971,,
COTS - The Committee On Temporary Shelter,"P.O. Box 1616 Burlington, VT 5402",(802) 864-7402,http://www.cotsonline.org/,
Cottonwood Creek Watershed Group,"3233 Brush Street Cottonwood, CA 96022",(530) 347-6637,www.ccwgrp.org,
Council of Churches and Synogogues,"461 Glenbrook Rd Stamford, CT 6906",(203) 348-2800,,
Council of Community Services,"502 Campbell Ave SW Roanoke, VA 24016",(540) 985-0131,, Mon-Fri  
Council of Community Services,"Hunger Study Implementation Coordinating Group Menands, NY 12204",(518) 434-9194,,
Countryside Food Pantry,"525 N. Main St. Elburn, IL 60119",(630) 365-6655,,
Countryside Public Health (141),"201-13th Street South Benson, MN 56215",(320) 843-4546,http://www.countrysidepublichealth.org/,
Countryside Public Health Chippewa County ,"719 N 7th St Suite 308 Benson, MN 56215",(320) 269-2174,http://www.countrysidepublichealth.org/wic.php,
County of Allegheny Mental Health Program / Chain of Hope Drop-In Center,"Chain Of Hope Center Pittsburgh, PA 15221",(412) 247-5018,,
Courtyard @ Riverview,"1021 S.4th St Philadelphia, PA 19147",(215) 551-7164,,M 8:00 AM-5:00 PM
Covenant Cooperative Ministry,"122 South 10 1/2 Street Terre Haute, IN 47807",(812) 478-7700,,
Covenant Deacons Pantry - Food Pantry,"384 Lancaster Ave Frazier, PA 19355",(610) 648-0707,,W 9:00 AM-10:30 AM;  SA 9:00 AM-10:30 AM;  
Covenant Food Pantry,"7171 Willard Ave SE Grand Rapids, MI 49548",(616) 706-7854,,
Covenant House Food Pantry,"16 Leon Sullivan Way Charleston, WV 25301",(304) 344-8053,,
"Covenant House, Inc.","600 Shrewsbury Street Charleston, WV 25301",(304) 344-8053,www.wvcovenanthouse.org,
Covenant Ministries International,"5937 Ogontz Avenue Philadelphia, PA 19141",(215) 939-1507 x267,,Sa 12:00 PM-4:00 PM
Coventry Community Food Bank,"191 MacArthur Blvd Coventry, RI 2816",(401) 822-9199,,
Covington Community Center,"16720 SE 271st Street Covington, WA 98042",(253) 639-1775,,
Coweta Community Food Pantry,"320-C Temple Avenue Newnan, GA 30263",(770) 683-7705,,
Cradle Community Resource Center,"12900 Albrook Drive Denver, CO 80239",(303) 373-1243,,
Crafton Heights UP Church,"50 Stratmore St. Pittsburgh, PA 15205",(412) 417-2732,,
Craig/Kiawock Senior Center (Catholic Community Serivce),"Kiawock Tingit & Haida Senior Housing Building, 465 Summit PO Box 503 Kiawock, AK 99925",(907) 755-2224,"http://www.ccsjuneau.org/106,klowock",Monday-Thursday 8:00 AM-2:00 PM; Meal served daily at noon
Crandon NEWCAP Food Pantry,"212 N. Lake Ave Crandon, WI 54520",(715) 478-3871,,
Cranks Creek Survival Center,"Box 32 Cranks Creek, KY 40820",(606) 573-2812,,
CRDC,"1039 Hout Drive Newport, AR 72112",(870) 523-5474,,
Create-Community Resource Empower,"5801 Walnut Street Philadelphia, PA 19139",(215) 474-5801,,3rd Sa 10:00 AM-12:00 PM
CRER: Cultural Renaissance for Economic Revitilization,"522 Morris Park Avenue Bronx, NY 10460",(718) 823-2573,www.crer.org,
Crescent City Farmers Market ,"200 Broadway Street Suite 107 New Orleans, LA 70118",(504) 861-4488,http://www.crescentcityfarmersmarket.org/," Monday - Friday, 9-5  "
Crestholme Presbyterian Church,"1602 Goliad Rd San Antonio, TX 78222",(210) 333-1301,http://crestholmepc.com/,
Crestline Nazarene Food Pantry,"500 E. Main Street Crestline, OH 44827",(419) 631-6531,,
Creston Avenue Baptist Church,"114 E 188th Street Bronx, NY 10468",(718) 367-1754,,
Crisis Assistance Ministry,"500A Spratt Street Charlotte, NC 28206",(704) 371-3001,www.crisisassistance.org," M-F, 8-5  "
Crisis Call Center,"P.O. Box 8016 Reno, NV 89507",(775) 784-8090,, The crisis hotlines run 24-hours per day. Business office hours are 8 am to 5 pm.  
Crisis Control Ministry,"200 East Tenth St. Winston-Salem, NC 27101",(336) 724-7453,www.crisiscontrol.org,
"Crisis Food Center, Inc.","21 E. 6th Street Alton, IL 62002",(618) 462-8201,,
"Crisis House, Inc.","1034 N. Magnolia Ave. El Cajon, CA 92020",(619) 444-9926,,
Crisis Ministries,"P.O. Box 20038 Charleston, SC 29413",(843) 723-9477,,
Crisis Ministry of Trenton,"123 East Hanover Street Trenton, NJ 08608",(609) 396-9355,,M 9:00 AM-12:00 PM;  T 9:00 AM-12:00 PM;  W 9:00 AM-12:00 PM;  TH 9:00 AM-12:00 PM;  F 9:00 AM-12:00 PM;  
Crisis Services - Outreach to the Homeless Program,"2969 Main St. Buffalo, NY 14214",(716) 835-6225,www.crisisservices.org,
Crockett County Schools,"102 N. Cavalier Dr Alamo, TN 38001",(731) 696-2116,www.ccschools.net,
Crooked Creek Multi-Service Center,"2990 W 71st St. Indianapolis, IN 46268",(317) 293-2600,, Hours: 7:30 a.m. - 4:00 p.m. Monday through Friday  
Cross Point Food Pantry,"6570 Mifflin Ave Harrisburg, PA 17111",(717) 580-1048,,
CROSS ROAD CHURCH,"2756 N STATE ROAD 3 NEW CASTLE, IN 47362",(765) 987-7881,,
Cross Road Church Food Pantry,"2748 North State Road 3 New Castle, IN 47362",(765) 521-4537,,
Cross Roads food pantry,"2310 haymaker road Monroeville, PA 15146",(412) 372-2311,http://www.crossroadspresbyterian.com/,
Cross Walk Community Outreach,"125 State Park Road Naples, ME 4055",(207) 615-3226,, -Every other Monday from 11 am to 1 pm year round.  
Crossgates Baptist Church,"8 Cross Woods Road Brandon, MS 39042",(601) 825-2562,,
"Crosslines Churches of the Joplin Area, Inc.","131 S. High Ave. Joplin, MO 64801",(417) 782-8384,,
Crosslines Ministries - Joplin,"1901 1/2 S Pearl Joplin, MO 64804",(417) 782-8384,crosslinesjoplin.org,"Monday, Tuesday, Thursday, Friday from 10 a.m. til 2 p.m."
Crosslines Ministries - Joplin,"1901 1/2 S Pearl Joplin, MO 64804",(417) 782-8384,crosslinesjoplin.org,"Monday, Tuesday, Thursday, Friday from 10 a.m. til 2 p.m."
Crossroads Baptist Church Food Pantry,"320 Whitmire ST. Brevard, NC 28712",(828) 862-8138,,
Crossroads Cares Food Pantry,"6900 W 117th Ave u#300E Broomfield, CO 80020",(303) 466-2115,,
Crossroads Center,"702 West 14th Street Hastings, NE 68901",(402) 462-6460,,
Crossroads Church Food Bank,"10451 Huron Street Northglenn, CO 80233",(720) 635-2776,,
Crossroads Community Services at St. Bartholomew's Church,"108 E. 51st Street New York, NY 10022",(212) 378-0229,,"Food Pantry: Sunday, Monday, Wednesday 5:30pm-6:30pm; Thursday 10am-2pm; Saturday 9:30am-11am."
Crossroads Food Pantry,"329 W. 42nd St New York, NY 10036",(212) 246-4732,,Food Pantry: Every other Saturday 11am-1pm. 
Crossroads FRC Food Pantry,"4543 Douglas Road Toledo, OH 43613",(419) 475-3258,,
CrossWalk Community Outreac,"15 Village Green Naples, ME 4055",(207) 615-3226,, -  Every other Monday from 11 am to 1 pm-Emergency food assistance available anytime  
Crossway Community,"3015 Upton Drive Kensington, MD 20895",(301) 929-2505,,
Crow Wing County Health Service ,"204 Laurel Street Suite 12 Brainerd, MN 56401",(218) 824-1073,http://crowwing.us/200/WIC-Nutrition,
Crow Wing County Social Services ,"204 Laurel Street P.O. Box 686 Brainerd, MN 56401",(218) 824-1140,http://crowwing.us/91/Community-Services,
Crown Heights Jewish Community Council,"387 Kingston Avenue Brooklyn, NY 11225",(718) 778-8808,www.chjcc.org,
Crown Ministry,"10405 Glenwood Road Brooklyn, NY 11236",(718) 257-4450,,Thursday 12pm-2pm
Crown Point Ecology Center,"3220 Ira Road Bath, OH 44210",(330) 668-8992,www.crownpt.org/,
Crown Point Ecology Center,"3229 Ira Road Bath, OH 44210",(330) 668-8992,www.crownpt.org,
CRUCIAL Human Services,"230 Moselle Street Buffalo, NY 14211",(716) 895-8891,,
Crusaders for Christ,"1201 S. 47lh Street Philadelphia, PA 19143",(267) 206-5512 x215,,F 4:00 PM-5:00 PM
Cruz Mobile Clinic,"P.o. Box 770180 Memphis, TN 38177",(901) 683-9511,,
Cry in the City Food Closet,"901 E. 17th st. WIlmington, DE 19802",() -,,
Crystal Lake Food Pantry,"257 King St Crystal Lake, IL 60014",(815) 455-0961,,
Crystal Lake Market Garden,"7909 Crystal Lake Rd Lodi, WI 53555",(608) 592-5672,,
Ecovida / MidAmerica,"1111 North Wells Chicago, IL 60610",(312) 322-3000,,
ECPAC-Friends In Deed Food Pantry,"444 E Washington Blvd Pasadena, CA 91104",(626) 797-6072,http://ecpac.net/the_pantry.html,Tuesdays & Wednesdays 10AM-3PM
Ecumenical Council of the Pasadena Area Churches (ECPAC),"P.0. Box 41125 Pasadena, CA 91114",(626) 797-5335,,
Ecumenical Hunger Program,"2411 Pulgas Avenue East Palo Alto, CA 94303",(650) 323-7781,http://ehpcares.org/,M-F 9 a.m. to 5 p.m. & on some Saturday
Ecumenical Ministries,"245 SW Bancroft Street Portland, OR 97239",(503) 221-1054,,
Ecumenical Ministries ,"0245 SW Bancroft St. Portland, OR 97239",(503) 221-1054,www.emoregon.org,
Ecumenical Ministries of Oregon,"0245 SW Bancroft Street Suite B Portland, OR 97239",(503) 221-1054,http://www.emoregon.org/,
Eddy County SNAP Ofiice (Artesia Area),"108 N. 16th Artesia, NM 88210",(575) 748-3361,,
Eddy County SNAP Ofiice (Carlsbad Area),"3604 San Jose Blvd. Carlsbad, NM 88220",(575) 885-8815,,
Eden Housing Inc.,"409 Jackson Street Hayward, CA 94544",(510) 582-1460,www.edenhousing.org,
Edenton - Chowan Food Pantry,"1370 N. Broad St. Edenton, NC 27932",(252) 482-2504,,
Edgemoor Communtity Center-Mass,"500 Duncan rd, Suite A Wilmington, DE 19809",(302) 762-1391,http://www.ecc-de.org/," thu: 4-5:30, sat: 10-3, sun: by appt.  "
Edgerton Memorial United Methodist Church,"401 West Anderson Street Selma, NC 27576",(919) 931-4034,, Tues-Fri 9-12  
Edgewater United Methodist Church,"204 Hubbell St. Edgewater, FL 32132",(386) 428-6552,,
Edgewood Mobile Food Pantry,"20 Willow Rd Edgewood, NM 87015",(505) 281-5364,,
Edible Memphis,"PO Box 3091 Memphis, TN 38173",(901) 552-4742,www.ediblememphis.com,
Edible Schoolyard New Orleans,"Samuel J. Green Charter School New Orleans, LA 70115",(504) 304-3595,www.esynola.org,
"Education and Employment Ministry, Inc. - TEEM","14 NE 13th Street Oklahoma City, OK 73104",(405) 235-5671,," Career Development Workshop: Mon 1pm-3:30pm, Tues-Fri 9am-3:30pm  "
EFFORTS,"1603 Rhod Island Avenue, NE Washington, DC 20018",(202) 526-2727,,
"Eglise Evangelique De La Renaissance - Christian Counseling Ministries, Inc.","129 Lower Swiftwater RD Swiftwater, PA 18370",(570) 895-2344,http://www.egliserenaissance.org/,saturdays 9 am to 12 noon
Eighteenth Street Development Corporation,"1839 S Carpenter Chicago, IL 60608",(312) 733-2287,,
El Centro De La Raza,"2524 16th Avenue South Seattle, WA 98144",(206) 329-7960,www.elcentrodelaraza.com, Monday- Friday 8:30am- 5:30pm  
"El Centro de Servicios Sociales, Inc.","1888 E 31st Street Lorain, OH 44055",(216) 277-8235,,
El Mirage Senior Center,"14010 North El Mirage Rd. El Mirage, AZ 85335",(623) 937-0500,, HoursMonday ? Friday7:00 am ? 3:30 pm(Excluding Holidays)  
El Monte Wesleyan Christian Church,"2400 Santa Anita Ave. El Monte, CA 91733",(626) 448-2815,,
"El Pueblo, Inc.","4N. Blount Street Raleigh, NC 27601",(919) 835-1525,,
El Rio Community Health Center,"839 W. Congress St Tucson, AZ 85745",(520) 792-9890,www.elrio.org,
El Shaddai Baptist Church,"4244-48 Old York Road Philadelphia, PA 19140",(267) 977-0027 x215,,M & T 10:00 AM-2:00 PM
"El Sol, Jupiter's Neighborhood Resource Center","106 Military Trail Jupiter, FL 33458",(561) 745-9860,www.friendsofelsol.org,
Elam Davies Social Service Center (A Program of Chicago Lights at Fourth Presbyterian Church),"126 E. Chestnut Street Chicago, IL 60611",(312) 981-3569,,
Elder Place Anchor of Worship,"80 E.Collom Street Philadelphia, PA 19144",(267) 320-1371,,W 1:00 PM-5:00 PM
Elijah's Promise,"211 Livingston Avenue New Brunswick, NJ 8901",(732) 545-9002 x115,www.elijahspromise.org, M-F 9-7pmSat-Su 2-5  
Elizabeth Food Bank,"381 S. Banner St. Elizabeth, CO 80107",(303) 646-4825,,
Elizabeth Lutheran Church Pantry,"165 County Road 307 Caldwell, TX 77836",(979) 567-4286,http://www.elizabeth-lutheran.org/index.php,
Elk River Food Bank,"112 Main St Elk River, ID 83827",(208) 826-3305,,
Elks Feeding Empty Little Tummies (E.F.E.L.T.),"2511 75th Street West Bradenton, FL 34209",(941) 792-1511,www.bradentonelks1511.org,
EllaCochran Food Pantry/Harborcreek,"931 Highmeyer Rd Harborcreek, PA 16421",(814) 899-4624,,
Elmcor Youth & Adult Activities Inc,"107-20 Northern Blvd. Queens (Corona), NY 11368",(718) 651-0096,,Wednesday 1pm. Tickets distributed from 7am.
Elmcor Youth And Adult Activities,"107-20 Northern Boulevard Corona, NY 11368",(718) 651-0096,www.eec.sunyeoc.org/, Wed 1-2  
Elmore County Food Pantry,"515 W Boundary St Wetumpka, AL 36092",(334) 567-3232,http://www.elmorecountyfoodpantry.net,"Pre Screening T,W & F 10am-2pm
"
Elmwood Baptist Church Food Pantry,"13100 E.144th Ave. Brighton, CO 80601",(303) 659-3818,,
Elmwood Interfaith Food Pantry,"1640 South Ave Syracuse, NY 13207",(315) 478-0951,,"Wednesday, Thursday 10am-1pm"
Elohim Community Development and Outreach,"87-47 111th Street Queens (South Ozone Park), NY 11418",(917) 418-7906,,Friday 9am-11am.
Elon Homes and Schools for Children,"1717 Sharon Road West Charlotte, NC 28210",(704) 369-2500,http://www.elonhomes.org/,
Elvins Food Pantry,"17 W. Main P.O. Box 282 Parkhills, MO 63601",(573) 518-1266,,
Emannuel Lutheran Church,"51 Wilburn Place Asheville, NC 28806",(828) 252-1795,,
Emanuel Evangelical Lutheran - Food Pantry,"937 S. 3rd St Philadelphia, PA 19147",(215) 397-2181,,T 11:00 AM-12:00 PM;  W 11:00 AM-12:00 PM;  
Embrace Richmond,"1125 E Commerce Road Richmond, VA 23224",(804) 343-5008,www.embracerichmond.org,
Embracing Truth Ministries,"544 N. 52nd Street Philadelphia, PA 19131",(215) 724-1373 x267,,Once a month W 10:00 AM-1:00 PM
Emergency Feeding Program of Greater Seattle,"P.O. Box 18145 Seattle, WA 98118",(206) 723-0647,www.users.qwest.net/~hungry/efp.htm,
Emergency Food Bank,"11 W. Scotts Avenue Stockton, CA 95203",(209) 464-7369,,
Emergency Food Bank,"P.O. Box 4373 Charlottesville, VA 22905",(434) 979-9180,,
Emergency Food Bank and Family Services,"7 W. Scotts Ave. Stockton, CA 95203",(209) 464-7369,http://www.stocktonfoodbank.org/,9:00am - 12:00 pm
Emergency Food Network,"3318 92nd Street South Lakewood, WA 98409",(253) 584-1040,www.efoodnet.org,
Emergency Food Pantry,"1438 10th St. North Fargo, ND 58102",(701) 237-9337,,
Emergency Food Pantry,"916 Fields Drive sanford, NC 27330",(919) 774-3365,, M-F 9-3  
Emergency Foodbank,"427 Washington Street Dayton, OH 45402",(937) 461-9786,," The Special Dietary Needs Pantry is open Tuesday-Thursdays, 9:00 a.m.-11:00 a.m. (The pantry does not accept walk-ins.)To make an appointment, call 937-461-9786 Monday-Friday, 9:00 a.m. - 4:00 p.m.  "
Emergency Foodshelf Network Food Bank,"8501 54th Ave. No. New Hope, MN, MN 55428",(763) 450-3860,,
Emergency Housing Project,"P.O. Box 3146 Iowa City, IA 52244",(319) 351-0326,,
Emergency Relief Assoc. UCC - Food Pantry,"8525 New Falls Rd. Levittown, PA 19054",(215) 547-1676,,M 6:00 PM-8:00 PM;  W 10:00 AM-1:00 PM;  F 10:00 AM-1:00 PM;  SA 10:00 AM-1:00 PM;  
Emergency Service - Ocean County,"200 Monmouth Ave Lakewood, NJ 8701",(732) 363-5322,,
Emlen Arms Residents Council,"6733 Emlen Street Philadelphia, PA 19119",(215) 684-2852 x215,,"Monday	11:00 AM	2:00 PM Tuesday	11:00 AM	2:00 PM Wednesday	11:00 AM	2:00 PM Thursday Friday	11:00 AM 11:00 AM	2:00 PM 2:00 PM"
Emmanuel AME Church,"37-41 West 119th Street New York, NY 10026",(212) 722-6887,,Wednesday 11am - 12pm
Emmanuel Church of the Nazarene,"470 Smithfield Avenue Pawtucket., RI 2860",(401) 725-1867,,
Emmanuel E.C. Church FC,"100 South Main Street Hatfield, PA 19440",(215) 855-2540,,T 5:30 PM-6:30 PM;  W 5:30 PM-6:30 PM;  
Emmanuel E.C. Church Food Cupboard,"100 South Main Street Hatfield, PA 19440",(215) 855-2540,,1st T 5:30 PM-6:30 PM; 3rd W 5:30 PM-6:30 PM;  
Emmanuel Food Pantry,"825 E. Princess St. York, PA 17403",(717) 854-1047,,
Emmanuel Institutional Baptist Church,"1730 N.22nd Street Philadelphia, PA 19121",(215) 763-1168 x215,,3rd Sa 10:00 AM- 12:00 PM
Emmanuel Missionary Baptist Church,"2340 Fairfield Avenue Fort Wayne, IN 46807",(260) 744-7000,, -9:30 a.m. - 10:30 a.m. also 1:00p.m. - 2:00p.m.  
Emmanuel Missionary Baptist Church - EMBC Community Outreach ,"2340 Fairfield Avenue Fort Wayne, IN 46807",(260) 744-7000,,July 5 ? August 26th 
Emmanuel Pentecostal Church of Love,"549 Gates Avenue Brooklyn, NY 11216",(718) 498-8026,,
Emmanuel Pentecostal Temple,"2722 East Main Street Durham, NC 27703",(919) 596-0038,, Wed @ 5 & as needed  
Emmanuel United Methodist Church,"2346- 50 N. 17th Street Philadelphia, PA 19132",(215) 229-5301 x215,,Th 10:00 AM-1:00 PM 
Emmaus House,"10 N. East St. Raleigh, NC 27601",(919) 838-6700,,
Emmaus Mission Center - Food Pantry,"1203 College Street Logansport, IN 46947",(574) 753-3500,,
Emmaus Shelter Food Pantry,"51 Main Street Ellsworth, ME 4605",(207) 667-3962,,
"Emmaus, Inc.","P.O. Box 568 Haverhill, MA 1831",(978) 241-3414,www.emmausinc.org, Administration 8-4Shelter 24 hours.  
Emmett Valley Friendship Coalition,"404 S. Johns Ave. Emmett, ID 83617",(208) 369-7915,, -Dinner from 5 to 6:30 p.m.Pantry from 3 to 6 p.m.  
EMPOWER DC-District of Columbia Grassroots Empowerment Project,"1419 V Street Washington, DC 20009",(202) 234-9119,http://www.empowerdc.org/,
Encore Community Services/Senior Center,"239 W 49th Street New York, NY 10019",(212) 581-2910,,Monday to Friday 9:00am to 4:00pm
Endless Aid at Mountain View Family Church,"4815 W. Hunt Hwy Queen Creek, AZ 85242",(480) 677-2100,,
Endtime Church of Jesus Christ,"2466 N. Opal Street Philadelphia, PA 19121",(215) 228-6407,,W 7:30 PM- 8:30 PM
Enemy Swim Day School,"13525 446th Ave Waubay, SD 57273",(605) 947-4605,www.esds.us,
English at Work,"3710 Cedar Street Austin, TX 78705",(512) 524-5421,www.austinenglish.org,
Enon Baptist Church,"19th & Green Streets Philadelphia, PA 19130",(215) 840-7445 x215,,W 11:00 AM-2:00 PM
Enon Tabernacle,"230 W Coulter St Philadelphia, PA 19119",(215) 276-7200,,M 10:00 AM-12:00 PM;  T 10:00 AM-12:00 PM;  W 10:00 AM-12:00 PM;  TH 10:00 AM-12:00 PM;  
